name,submissions,x,y,z
"Crescent Aetherscab",1,-495.99,106.68,36.52
"Crescent Aetherscab",1,-495.94,108.69,-9.32
"Crescent Aetherscab",1,-495.94,108.69,-9.23
"Crescent Aetherscab",1,-495.94,108.98,-16.83
"Crescent Aetherscab",1,-495.93,108.82,-12.73
"Crescent Aetherscab",1,-495.88,109.10,-20.26
"Crescent Aetherscab",1,-495.85,106.64,37.55
"Crescent Aetherscab",1,-495.77,108.89,-15.07
"Crescent Aetherscab",1,-495.76,106.81,34.15
"Crescent Aetherscab",1,-495.75,106.92,34.20
"Crescent Aetherscab",1,-495.69,106.76,34.89
"Crescent Aetherscab",1,-495.65,108.90,-15.75
"Crescent Aetherscab",1,-495.65,108.90,-15.93
"Crescent Aetherscab",1,-495.65,106.93,29.63
"Crescent Aetherscab",1,-495.61,108.85,-14.61
"Crescent Aetherscab",1,-495.60,106.92,31.59
"Crescent Aetherscab",1,-495.58,106.60,37.87
"Crescent Aetherscab",1,-495.55,106.60,37.74
"Crescent Aetherscab",1,-495.52,106.67,36.19
"Crescent Aetherscab",1,-495.49,106.92,30.84
"Crescent Aetherscab",1,-495.46,109.06,-20.72
"Crescent Aetherscab",1,-495.41,106.92,30.59
"Crescent Aetherscab",1,-495.40,106.90,32.09
"Crescent Aetherscab",1,-495.31,109.00,-19.66
"Crescent Aetherscab",1,-495.30,108.89,-17.00
"Crescent Aetherscab",1,-495.20,108.87,-16.84
"Crescent Aetherscab",1,-495.13,108.84,-16.32
"Crescent Aetherscab",1,-495.06,106.81,34.02
"Crescent Aetherscab",1,-495.05,108.66,-11.68
"Crescent Aetherscab",1,-495.01,106.71,35.55
"Crescent Aetherscab",1,-494.99,108.92,-18.71
"Crescent Aetherscab",1,-494.96,108.76,-14.70
"Crescent Aetherscab",1,-494.92,108.64,-11.82
"Crescent Aetherscab",1,-494.88,108.89,-18.56
"Crescent Aetherscab",1,-494.85,108.88,-18.29
"Crescent Aetherscab",1,-494.84,108.83,-17.04
"Crescent Aetherscab",1,-494.84,106.80,34.16
"Crescent Aetherscab",1,-494.77,108.76,-15.51
"Crescent Aetherscab",1,-494.76,108.74,-14.98
"Crescent Aetherscab",1,-494.74,106.71,35.49
"Crescent Aetherscab",1,-494.72,106.91,30.51
"Crescent Aetherscab",1,-494.72,108.90,-19.41
"Crescent Aetherscab",1,-494.69,108.51,-9.21
"Crescent Aetherscab",1,-494.67,106.90,31.31
"Crescent Aetherscab",1,-494.66,106.90,30.16
"Crescent Aetherscab",2,-494.65,106.73,-14.98
"Crescent Aetherscab",1,-494.63,106.72,35.36
"Crescent Aetherscab",1,-494.60,108.50,-9.30
"Crescent Aetherscab",1,-494.58,108.60,-11.90
"Crescent Aetherscab",1,-494.57,108.76,-16.11
"Crescent Aetherscab",1,-494.57,108.73,-15.35
"Crescent Aetherscab",1,-494.53,108.92,-20.50
"Crescent Aetherscab",1,-494.53,106.85,33.25
"Crescent Aetherscab",1,-494.45,108.77,-16.83
"Crescent Aetherscab",1,-494.43,106.87,31.93
"Crescent Aetherscab",1,-494.35,106.84,33.51
"Crescent Aetherscab",1,-494.34,108.66,-14.49
"Crescent Aetherscab",2,-494.29,108.52,-10.95
"Crescent Aetherscab",1,-494.27,108.61,-13.39
"Crescent Aetherscab",1,-494.25,108.68,-15.35
"Crescent Aetherscab",1,-494.23,106.87,30.65
"Crescent Aetherscab",1,-494.23,108.82,-19.02
"Crescent Aetherscab",1,-494.20,106.85,33.16
"Crescent Aetherscab",1,-494.19,106.89,29.45
"Crescent Aetherscab",1,-494.18,108.49,-10.62
"Crescent Aetherscab",1,-494.14,108.77,-17.99
"Crescent Aetherscab",1,-494.13,108.70,-16.21
"Crescent Aetherscab",1,-494.13,108.51,-11.14
"Crescent Aetherscab",1,-494.12,108.66,-15.10
"Crescent Aetherscab",1,-494.12,106.73,34.62
"Crescent Aetherscab",1,-494.07,108.58,-13.30
"Crescent Aetherscab",1,-494.07,108.46,-10.02
"Crescent Aetherscab",2,-494.07,108.73,-17.25
"Crescent Aetherscab",1,-494.05,106.93,0.24
"Crescent Aetherscab",1,-494.01,108.70,-16.74
"Crescent Aetherscab",1,-493.98,108.71,-16.90
"Crescent Aetherscab",1,-493.94,108.67,-16.01
"Crescent Aetherscab",1,-493.92,106.84,32.70
"Crescent Aetherscab",1,-493.91,106.63,36.52
"Crescent Aetherscab",1,-493.89,106.89,30.32
"Crescent Aetherscab",1,-493.88,106.44,39.44
"Crescent Aetherscab",1,-493.87,106.70,35.43
"Crescent Aetherscab",1,-493.84,106.73,34.96
"Crescent Aetherscab",1,-493.80,106.60,37.05
"Crescent Aetherscab",1,-493.73,108.71,-17.83
"Crescent Aetherscab",1,-493.67,108.75,-19.34
"Crescent Aetherscab",1,-493.62,106.84,32.17
"Crescent Aetherscab",1,-493.60,106.88,30.11
"Crescent Aetherscab",1,-493.53,106.67,35.91
"Crescent Aetherscab",1,-493.48,107.43,-4.12
"Crescent Aetherscab",1,-493.47,108.77,-20.41
"Crescent Aetherscab",1,-493.47,108.64,-17.13
"Crescent Aetherscab",1,-493.46,106.96,-2.07
"Crescent Aetherscab",1,-493.44,108.49,-13.21
"Crescent Aetherscab",1,-493.44,106.47,38.85
"Crescent Aetherscab",1,-493.32,106.81,33.76
"Crescent Aetherscab",1,-493.31,106.74,34.74
"Crescent Aetherscab",1,-493.30,106.84,31.73
"Crescent Aetherscab",1,-493.27,108.16,-7.42
"Crescent Aetherscab",1,-493.27,106.62,36.53
"Crescent Aetherscab",1,-493.25,108.32,-9.42
"Crescent Aetherscab",1,-493.24,106.67,35.77
"Crescent Aetherscab",1,-493.24,106.70,35.35
"Crescent Aetherscab",1,-493.24,106.87,30.01
"Crescent Aetherscab",1,-493.21,106.51,38.19
"Crescent Aetherscab",1,-493.17,106.67,35.80
"Crescent Aetherscab",1,-493.15,108.38,-11.40
"Crescent Aetherscab",1,-493.09,106.53,37.85
"Crescent Aetherscab",1,-493.08,108.64,-18.41
"Crescent Aetherscab",1,-493.04,108.67,-19.46
"Crescent Aetherscab",2,-493.01,106.68,35.58
"Crescent Aetherscab",1,-492.91,108.33,-11.14
"Crescent Aetherscab",1,-492.89,108.60,-18.28
"Crescent Aetherscab",1,-492.88,108.54,-16.57
"Crescent Aetherscab",1,-492.87,108.44,-13.96
"Crescent Aetherscab",1,-492.79,108.64,-19.44
"Crescent Aetherscab",1,-492.70,108.55,-17.65
"Crescent Aetherscab",1,-492.66,106.80,33.24
"Crescent Aetherscab",1,-492.63,108.28,-10.79
"Crescent Aetherscab",1,-492.61,108.64,-20.26
"Crescent Aetherscab",1,-492.61,106.45,39.04
"Crescent Aetherscab",1,-492.60,108.52,-17.10
"Crescent Aetherscab",1,-492.53,106.79,33.25
"Crescent Aetherscab",1,-492.52,106.79,33.58
"Crescent Aetherscab",1,-492.50,106.69,35.22
"Crescent Aetherscab",1,-492.49,108.54,-17.95
"Crescent Aetherscab",1,-492.48,108.46,-15.90
"Crescent Aetherscab",1,-492.36,106.65,35.58
"Crescent Aetherscab",1,-492.35,108.47,-16.72
"Crescent Aetherscab",1,-492.34,106.75,34.49
"Crescent Aetherscab",1,-492.31,108.48,-17.02
"Crescent Aetherscab",1,-492.30,108.34,-13.45
"Crescent Aetherscab",1,-492.22,106.64,36.11
"Crescent Aetherscab",1,-492.22,108.26,-11.63
"Crescent Aetherscab",1,-492.18,106.77,34.06
"Crescent Aetherscab",1,-492.17,106.61,36.58
"Crescent Aetherscab",1,-492.17,106.78,33.47
"Crescent Aetherscab",1,-492.14,108.47,-17.56
"Crescent Aetherscab",1,-492.13,108.23,-11.39
"Crescent Aetherscab",1,-492.10,108.27,-12.30
"Crescent Aetherscab",1,-492.10,106.77,33.49
"Crescent Aetherscab",1,-492.09,108.33,-13.91
"Crescent Aetherscab",1,-492.06,108.22,-11.23
"Crescent Aetherscab",1,-492.01,106.84,29.79
"Crescent Aetherscab",1,-491.98,106.73,34.77
"Crescent Aetherscab",1,-491.95,106.72,34.86
"Crescent Aetherscab",1,-491.94,106.75,34.39
"Crescent Aetherscab",1,-491.94,108.31,-14.03
"Crescent Aetherscab",1,-491.93,106.50,38.19
"Crescent Aetherscab",1,-491.92,106.56,34.23
"Crescent Aetherscab",1,-491.90,108.25,-12.58
"Crescent Aetherscab",1,-491.90,106.84,28.42
"Crescent Aetherscab",1,-491.86,106.84,-0.70
"Crescent Aetherscab",1,-491.79,108.44,-18.12
"Crescent Aetherscab",1,-491.75,106.66,35.77
"Crescent Aetherscab",1,-491.73,108.20,-12.05
"Crescent Aetherscab",1,-491.70,108.47,-19.23
"Crescent Aetherscab",1,-491.70,108.13,-10.28
"Crescent Aetherscab",1,-491.68,106.58,36.97
"Crescent Aetherscab",1,-491.67,106.76,33.91
"Crescent Aetherscab",1,-491.63,106.37,40.18
"Crescent Aetherscab",1,-491.62,106.71,34.97
"Crescent Aetherscab",1,-491.61,108.23,-13.27
"Crescent Aetherscab",1,-491.59,106.83,29.68
"Crescent Aetherscab",1,-491.57,106.75,34.12
"Crescent Aetherscab",1,-491.57,108.46,-19.30
"Crescent Aetherscab",1,-491.48,108.32,-16.02
"Crescent Aetherscab",1,-491.48,106.75,33.59
"Crescent Aetherscab",1,-491.46,108.42,-18.65
"Crescent Aetherscab",1,-491.45,106.76,32.04
"Crescent Aetherscab",1,-491.43,108.16,-11.94
"Crescent Aetherscab",1,-491.43,106.83,28.89
"Crescent Aetherscab",1,-491.39,106.73,34.62
"Crescent Aetherscab",1,-491.17,106.50,38.10
"Crescent Aetherscab",1,-491.16,108.05,-10.13
"Crescent Aetherscab",1,-491.16,106.80,29.28
"Crescent Aetherscab",1,-491.14,108.34,-17.85
"Crescent Aetherscab",1,-491.07,108.18,-13.84
"Crescent Aetherscab",1,-491.04,108.29,-16.94
"Crescent Aetherscab",1,-491.03,106.68,35.36
"Crescent Aetherscab",1,-491.00,106.82,28.46
"Crescent Aetherscab",1,-490.84,108.15,-13.94
"Crescent Aetherscab",1,-490.81,108.25,-16.55
"Crescent Aetherscab",1,-490.71,108.15,-14.26
"Crescent Aetherscab",1,-490.65,106.56,37.03
"Crescent Aetherscab",1,-490.65,106.81,30.07
"Crescent Aetherscab",1,-490.51,106.67,35.39
"Crescent Aetherscab",1,-490.49,107.98,-10.70
"Crescent Aetherscab",1,-490.44,108.25,-18.09
"Crescent Aetherscab",1,-490.26,106.71,33.52
"Crescent Aetherscab",1,-490.25,106.71,33.92
"Crescent Aetherscab",1,-490.23,106.43,38.92
"Crescent Aetherscab",1,-490.21,106.59,36.52
"Crescent Aetherscab",1,-490.18,107.96,-11.36
"Crescent Aetherscab",1,-490.17,108.19,-17.46
"Crescent Aetherscab",1,-490.12,106.54,37.26
"Crescent Aetherscab",1,-490.04,107.96,-11.88
"Crescent Aetherscab",1,-489.99,106.72,31.84
"Crescent Aetherscab",1,-489.97,106.78,-2.94
"Crescent Aetherscab",1,-489.94,108.20,-18.49
"Crescent Aetherscab",1,-489.93,107.98,-12.72
"Crescent Aetherscab",1,-489.93,106.61,36.16
"Crescent Aetherscab",1,-489.88,106.64,35.74
"Crescent Aetherscab",1,-489.86,106.58,36.59
"Crescent Aetherscab",1,-489.86,108.19,-18.44
"Crescent Aetherscab",1,-489.85,108.08,-15.75
"Crescent Aetherscab",1,-489.84,107.99,-13.46
"Crescent Aetherscab",1,-489.83,108.07,-15.51
"Crescent Aetherscab",1,-489.77,106.48,38.10
"Crescent Aetherscab",1,-489.76,108.00,-13.94
"Crescent Aetherscab",1,-489.65,107.93,-12.51
"Crescent Aetherscab",1,-489.63,107.95,-13.23
"Crescent Aetherscab",1,-489.58,106.60,36.28
"Crescent Aetherscab",1,-489.56,108.10,-17.41
"Crescent Aetherscab",1,-489.54,106.67,35.02
"Crescent Aetherscab",1,-489.49,106.78,29.03
"Crescent Aetherscab",1,-489.49,106.66,35.42
"Crescent Aetherscab",1,-489.49,106.78,29.59
"Crescent Aetherscab",1,-489.47,108.07,-16.84
"Crescent Aetherscab",1,-489.47,106.59,36.46
"Crescent Aetherscab",1,-489.46,106.67,34.98
"Crescent Aetherscab",1,-489.44,107.94,-13.58
"Crescent Aetherscab",1,-489.40,108.06,-16.96
"Crescent Aetherscab",1,-489.39,106.54,37.11
"Crescent Aetherscab",1,-489.30,108.06,-17.30
"Crescent Aetherscab",1,-489.21,107.99,-15.69
"Crescent Aetherscab",1,-489.11,106.66,34.04
"Crescent Aetherscab",1,-489.10,108.01,-16.52
"Crescent Aetherscab",1,-489.06,107.96,-15.54
"Crescent Aetherscab",1,-489.01,107.99,-16.39
"Crescent Aetherscab",1,-488.85,106.56,36.77
"Crescent Aetherscab",1,-488.82,106.75,29.81
"Crescent Aetherscab",1,-488.71,106.48,38.03
"Crescent Aetherscab",1,-488.67,106.64,35.59
"Crescent Aetherscab",1,-488.65,106.59,36.33
"Crescent Aetherscab",1,-488.08,106.51,37.45
"Crescent Aetherscab",1,-488.05,106.60,35.27
"Crescent Aetherscab",1,-488.04,106.64,32.40
"Crescent Aetherscab",1,-487.84,106.48,37.88
"Crescent Aetherscab",1,-487.79,106.47,38.01
"Crescent Aetherscab",1,-487.79,106.69,30.75
"Crescent Aetherscab",1,-487.65,106.50,37.54
"Crescent Aetherscab",1,-487.64,106.61,34.85
"Crescent Aetherscab",1,-487.56,106.60,35.15
"Crescent Aetherscab",1,-487.52,106.60,34.71
"Crescent Aetherscab",1,-487.48,106.68,30.54
"Crescent Aetherscab",1,-487.40,106.68,30.41
"Crescent Aetherscab",1,-487.38,106.59,35.81
"Crescent Aetherscab",1,-487.35,106.57,36.46
"Crescent Aetherscab",2,-487.34,106.56,36.61
"Crescent Aetherscab",1,-487.22,106.61,33.26
"Crescent Aetherscab",1,-487.16,106.58,36.26
"Crescent Aetherscab",1,-487.06,106.58,36.02
"Crescent Aetherscab",1,-487.02,106.59,34.42
"Crescent Aetherscab",1,-486.99,106.56,36.43
"Crescent Aetherscab",1,-486.99,106.54,36.73
"Crescent Aetherscab",1,-486.61,106.58,33.21
"Crescent Aetherscab",1,-486.60,106.61,31.61
"Crescent Aetherscab",1,-486.52,106.57,34.76
"Crescent Aetherscab",1,-486.41,106.57,34.56
"Crescent Aetherscab",1,-485.34,108.23,-23.70
"Crescent Aetherscab",1,-485.03,108.23,-23.78
"Crescent Aetherscab",1,-484.60,108.26,-24.36
"Crescent Aetherscab",1,-484.49,108.08,-22.53
"Crescent Aetherscab",1,-484.32,107.85,-20.23
"Crescent Aetherscab",1,-484.22,108.34,-25.39
"Crescent Aetherscab",1,-484.02,108.14,-23.40
"Crescent Aetherscab",2,-483.99,107.75,-19.39
"Crescent Aetherscab",1,-483.88,107.74,-19.27
"Crescent Aetherscab",1,-483.85,107.75,-19.39
"Crescent Aetherscab",1,-483.84,108.20,-24.14
"Crescent Aetherscab",1,-483.79,108.13,-23.46
"Crescent Aetherscab",1,-483.73,108.41,-26.34
"Crescent Aetherscab",1,-483.68,108.09,-23.05
"Crescent Aetherscab",1,-483.64,107.77,-19.71
"Crescent Aetherscab",1,-483.64,108.25,-24.74
"Crescent Aetherscab",1,-483.63,108.02,-22.34
"Crescent Aetherscab",1,-483.61,107.83,-20.34
"Crescent Aetherscab",1,-483.51,108.45,-26.86
"Crescent Aetherscab",2,-483.50,108.27,-25.01
"Crescent Aetherscab",1,-483.45,108.12,-23.44
"Crescent Aetherscab",1,-483.41,108.17,-24.07
"Crescent Aetherscab",1,-483.31,107.87,-20.97
"Crescent Aetherscab",1,-483.24,108.00,-22.33
"Crescent Aetherscab",1,-483.18,108.18,-24.20
"Crescent Aetherscab",1,-483.16,108.42,-26.72
"Crescent Aetherscab",1,-483.12,107.72,-19.53
"Crescent Aetherscab",1,-483.01,107.97,-22.14
"Crescent Aetherscab",1,-482.78,108.14,-24.03
"Crescent Aetherscab",1,-482.75,107.99,-22.50
"Crescent Aetherscab",1,-482.68,108.50,-27.82
"Crescent Aetherscab",1,-482.60,107.91,-21.77
"Crescent Aetherscab",1,-482.46,108.07,-23.52
"Crescent Aetherscab",1,-482.46,108.44,-27.33
"Crescent Aetherscab",1,-482.43,108.08,-23.65
"Crescent Aetherscab",1,-482.33,107.90,-21.77
"Crescent Aetherscab",1,-482.30,107.58,-19.76
"Crescent Aetherscab",1,-482.23,108.45,-27.55
"Crescent Aetherscab",1,-482.22,107.61,-18.77
"Crescent Aetherscab",1,-482.22,107.80,-21.64
"Crescent Aetherscab",1,-482.11,107.57,-18.50
"Crescent Aetherscab",1,-481.98,107.58,-18.68
"Crescent Aetherscab",1,-481.95,108.23,-25.39
"Crescent Aetherscab",1,-481.88,108.40,-27.25
"Crescent Aetherscab",1,-481.83,107.97,-22.79
"Crescent Aetherscab",1,-481.72,107.60,-18.94
"Crescent Aetherscab",1,-481.71,107.66,-19.63
"Crescent Aetherscab",1,-481.67,107.64,-19.43
"Crescent Aetherscab",1,-481.61,107.72,-20.24
"Crescent Aetherscab",1,-481.54,107.89,-22.14
"Crescent Aetherscab",1,-481.42,107.45,-17.56
"Crescent Aetherscab",1,-481.39,107.78,-21.03
"Crescent Aetherscab",1,-481.39,107.97,-23.00
"Crescent Aetherscab",1,-481.37,107.94,-22.66
"Crescent Aetherscab",1,-481.24,107.91,-22.45
"Crescent Aetherscab",1,-481.08,107.59,-19.25
"Crescent Aetherscab",1,-481.06,108.25,-26.04
"Crescent Aetherscab",1,-481.03,108.50,-28.67
"Crescent Aetherscab",1,-480.99,107.87,-24.11
"Crescent Aetherscab",1,-480.96,108.19,-25.56
"Crescent Aetherscab",1,-480.93,108.05,-25.36
"Crescent Aetherscab",1,-480.87,108.15,-25.14
"Crescent Aetherscab",1,-480.83,108.08,-24.41
"Crescent Aetherscab",1,-480.77,108.34,-27.16
"Crescent Aetherscab",1,-480.62,107.83,-24.09
"Crescent Aetherscab",1,-480.62,108.34,-27.30
"Crescent Aetherscab",1,-480.59,108.08,-24.55
"Crescent Aetherscab",1,-480.55,108.46,-28.52
"Crescent Aetherscab",1,-480.54,108.10,-24.76
"Crescent Aetherscab",1,-480.50,107.42,-17.76
"Crescent Aetherscab",1,-480.45,107.96,-25.52
"Crescent Aetherscab",1,-480.45,108.39,-27.86
"Crescent Aetherscab",1,-480.36,108.36,-27.55
"Crescent Aetherscab",1,-480.32,107.87,-22.51
"Crescent Aetherscab",1,-480.30,108.10,-24.90
"Crescent Aetherscab",1,-480.22,107.44,-18.06
"Crescent Aetherscab",1,-480.18,108.39,-28.00
"Crescent Aetherscab",1,-480.17,108.24,-27.39
"Crescent Aetherscab",1,-480.13,107.91,-22.99
"Crescent Aetherscab",1,-480.13,107.60,-19.82
"Crescent Aetherscab",1,-480.08,108.10,-25.09
"Crescent Aetherscab",1,-480.02,107.90,-22.99
"Crescent Aetherscab",1,-479.97,107.57,-19.65
"Crescent Aetherscab",1,-479.95,107.80,-24.38
"Crescent Aetherscab",1,-479.88,107.72,-21.66
"Crescent Aetherscab",1,-479.85,107.34,-19.39
"Crescent Aetherscab",1,-479.72,108.19,-27.33
"Crescent Aetherscab",1,-479.56,108.11,-27.15
"Crescent Aetherscab",1,-479.55,107.31,-18.88
"Crescent Aetherscab",1,-479.55,107.88,-25.27
"Crescent Aetherscab",1,-479.47,107.67,-22.93
"Crescent Aetherscab",1,-479.46,107.95,-25.84
"Crescent Aetherscab",1,-479.46,107.68,-23.10
"Crescent Aetherscab",1,-479.44,108.09,-27.47
"Crescent Aetherscab",1,-479.40,108.02,-26.91
"Crescent Aetherscab",3,-479.38,106.51,-23.02
"Crescent Aetherscab",1,-479.36,107.62,-22.91
"Crescent Aetherscab",1,-479.36,107.82,-25.04
"Crescent Aetherscab",1,-479.30,107.63,-22.56
"Crescent Aetherscab",1,-479.29,107.44,-21.37
"Crescent Aetherscab",1,-479.22,107.49,-22.20
"Crescent Aetherscab",1,-479.21,108.17,-28.52
"Crescent Aetherscab",1,-479.19,107.06,-17.85
"Crescent Aetherscab",1,-479.16,107.45,-22.00
"Crescent Aetherscab",1,-479.13,107.71,-24.88
"Crescent Aetherscab",1,-479.09,107.79,-25.17
"Crescent Aetherscab",1,-479.05,107.58,-23.87
"Crescent Aetherscab",1,-479.00,108.01,-27.58
"Crescent Aetherscab",1,-478.99,107.10,-19.06
"Crescent Aetherscab",1,-478.92,107.55,-24.09
"Crescent Aetherscab",1,-478.91,107.79,-24.96
"Crescent Aetherscab",1,-478.90,107.84,-25.19
"Crescent Aetherscab",1,-478.86,107.44,-23.24
"Crescent Aetherscab",1,-478.85,107.92,-27.10
"Crescent Aetherscab",1,-478.83,107.08,-19.63
"Crescent Aetherscab",1,-478.83,107.87,-26.74
"Crescent Aetherscab",1,-478.82,107.12,-20.10
"Crescent Aetherscab",1,-478.79,107.13,-20.36
"Crescent Aetherscab",1,-478.73,107.06,-20.63
"Crescent Aetherscab",1,-478.72,107.50,-24.41
"Crescent Aetherscab",1,-478.72,107.93,-27.19
"Crescent Aetherscab",1,-478.71,107.57,-21.99
"Crescent Aetherscab",1,-478.70,107.41,-23.47
"Crescent Aetherscab",1,-478.68,107.85,-25.15
"Crescent Aetherscab",1,-478.65,108.02,-27.82
"Crescent Aetherscab",1,-478.62,107.30,-22.79
"Crescent Aetherscab",1,-478.62,107.55,-24.80
"Crescent Aetherscab",1,-478.61,106.95,-19.24
"Crescent Aetherscab",1,-478.56,107.28,-22.87
"Crescent Aetherscab",1,-478.55,107.70,-25.83
"Crescent Aetherscab",1,-478.45,107.60,-25.21
"Crescent Aetherscab",1,-478.42,107.24,-22.46
"Crescent Aetherscab",1,-478.41,106.68,-17.26
"Crescent Aetherscab",1,-478.36,107.01,-20.99
"Crescent Aetherscab",1,-478.21,107.73,-25.22
"Crescent Aetherscab",1,-478.20,108.06,-28.27
"Crescent Aetherscab",1,-478.17,107.70,-23.97
"Crescent Aetherscab",2,-478.15,106.79,-19.64
"Crescent Aetherscab",1,-478.14,107.23,-22.92
"Crescent Aetherscab",1,-478.09,108.06,-28.36
"Crescent Aetherscab",1,-478.07,107.35,-23.75
"Crescent Aetherscab",1,-477.96,107.86,-26.30
"Crescent Aetherscab",1,-477.89,106.53,-17.99
"Crescent Aetherscab",1,-477.86,107.19,-22.84
"Crescent Aetherscab",1,-477.80,107.24,-23.18
"Crescent Aetherscab",1,-477.71,106.58,-18.93
"Crescent Aetherscab",1,-477.70,106.46,-18.13
"Crescent Aetherscab",1,-477.69,106.77,-20.15
"Crescent Aetherscab",1,-477.66,107.26,-23.36
"Crescent Aetherscab",1,-477.64,106.76,-20.16
"Crescent Aetherscab",1,-477.63,107.31,-23.72
"Crescent Aetherscab",1,-477.59,107.60,-25.62
"Crescent Aetherscab",1,-477.48,106.33,-17.41
"Crescent Aetherscab",1,-477.41,106.46,-18.28
"Crescent Aetherscab",1,-477.36,106.92,-21.32
"Crescent Aetherscab",1,-477.29,106.38,-17.85
"Crescent Aetherscab",1,-477.28,106.99,-21.40
"Crescent Aetherscab",1,-477.11,106.53,-18.88
"Crescent Aetherscab",1,-477.08,106.44,-18.33
"Crescent Aetherscab",1,-477.03,107.32,-24.03
"Crescent Aetherscab",1,-476.99,107.28,-23.83
"Crescent Aetherscab",1,-476.95,107.89,-27.77
"Crescent Aetherscab",1,-476.94,106.40,-18.15
"Crescent Aetherscab",1,-476.92,107.45,-24.94
"Crescent Aetherscab",1,-476.88,105.98,-15.44
"Crescent Aetherscab",1,-476.87,106.67,-19.94
"Crescent Aetherscab",1,-476.81,106.46,-18.56
"Crescent Aetherscab",1,-476.47,107.27,-23.97
"Crescent Aetherscab",1,-476.43,106.44,-18.62
"Crescent Aetherscab",1,-476.41,106.42,-18.51
"Crescent Aetherscab",1,-476.38,106.47,-18.82
"Crescent Aetherscab",1,-476.36,106.87,-21.46
"Crescent Aetherscab",1,-476.30,106.46,-18.85
"Crescent Aetherscab",1,-476.20,107.71,-26.97
"Crescent Aetherscab",1,-475.91,107.14,-23.43
"Crescent Aetherscab",1,-475.82,107.53,-25.95
